y	x1	x2	x3	x4
161.294	73.066	68.508	55.448	37.657
160.235	73.746	66.628	54.853	39.27
163.469	76.291	69.893	54.795	37.223
159.174	76.557	66.712	53.934	36.999
171.71	78.001	71.042	57.267	39.654
169.925	79.074	69.951	57.354	40.659
170.568	79.41	72.489	58.163	40.016
171.3	80.431	72.886	58.152	42.084
173.551	81.865	73.371	57.75	39.526
182.945	84.178	77.185	61.43	43.518
175.477	82.476	73.628	58.74	41.561
188.548	85.594	76.554	63.794	43.89
191.871	86.333	76.799	64.085	44.731
183.544	88.063	78.689	62.984	43.733
194.49	87.696	79.971	63.133	45.453
188.323	89.37	80.967	63	45.956
196.609	90.267	82.346	66.591	45.873
192.831	90.457	81.122	64.007	46.035
203.715	93.208	84.363	69.975	49.207
203.159	94.16	85.089	67.385	45.502
197.11	94.7	83.904	67.434	46.748
220.144	96.587	88.807	75.056	53.3
205.504	96.558	87.137	68.801	48.606
202.285	95.723	87.017	70.121	46.942
213.407	97.427	88.739	70.084	49.939
204.413	97.775	88.047	70.985	50.645
209.181	99.527	89.368	70.821	49.57
211.991	100.38	91.335	73.346	50.934
218.192	102.042	90.891	72.616	53.103
222.057	102.089	93.952	74.178	52.135
218.851	104.158	93.459	74.978	52.771
229.925	104.345	95.665	77.724	53.583
232.609	107.767	98.603	80.676	55.429
228.983	107.717	97.128	76.53	52.348
234.407	108.91	98.686	78.899	55.108
237.268	109.384	97.521	79.376	57.224
236.895	111.682	100.937	79.835	57.939
236.309	110.364	100.471	78.049	56.502
237.335	111.538	100.584	79.731	57.408
237.57	114.432	102.635	81.341	57.001
240.397	113.349	101.459	81.414	56.066
249.918	114.793	103.377	82.498	57.721
245.986	115.607	105.216	84.604	57.11
246.931	116.68	104.628	83.48	58.422
255.993	117.721	105.928	85.316	61.681
252.245	119.494	106.351	84.914	59.871
266.496	119.823	108.435	88.138	63.092
262.34	120.494	109.853	87.345	61.931
274.069	123.343	112.606	90.575	62.924
265.881	122.785	111.422	88.452	63.96
257.331	123.82	109.669	88.143	61.922
268.508	124.9	112.992	90.546	62.706
266.523	126.713	114.598	90.194	63.506
265.849	126.926	113.98	91.24	62.649
276.372	127.962	115.437	93.73	66.774
276.847	128.318	114.722	92.659	65.663
279.831	129.676	117.487	94.333	65.978
279.403	131.06	117.727	93.189	65.044
282.96	131.411	116.801	94.81	67.603
283.186	133.531	119.911	96.208	66.583
277.528	132.482	120.698	96.307	66.731
294.082	135.307	121.542	99.075	70.077
293.954	134.464	121.85	96.91	67.686
296.075	136.699	124.076	99.764	71.06
291.792	137.472	123.829	100.545	70.483
296.011	138.348	124.261	100.211	71.642
295.035	139.943	125.519	100.308	71.011
295.958	139.086	126.017	100.595	68.471
304.77	143.177	127.895	102.872	70.975
307.408	141.335	127.548	102.752	73.509
307.492	143.536	128.993	103.413	73.38
300.613	143.884	127.331	103.383	71.701
308.042	145.249	129.415	103.666	71.521
324.587	149.087	135.194	107.655	76.692
322.671	148.017	133.124	107.237	74.554
314.093	147.714	133.846	105.075	75.654
325.306	148.359	135.511	109.001	78.372
330.006	151.45	137.879	111	76.545
324.706	151.981	137.561	110.024	76.471
325.494	152.682	137.894	109.398	75.628
327.182	153.071	137.671	109.942	77.926
332.601	153.513	139.839	113.621	78.544
329.55	154.925	140.129	111.559	76.357
335.65	158	141.126	110.769	79.86
339.394	157.379	141.585	114.28	81.302
330.688	157.616	140.035	111.727	79.326
336.974	161.869	145.587	116.159	80.947
334.162	161.425	142.79	113.217	79.541
349.08	161.761	146.999	117.777	83.363
341.204	164.058	147.117	118.595	82.035
356.59	164.886	148.068	118.067	82.822
345.299	164.381	147.873	117.892	83
360.665	168.206	152.098	122.975	88.075
362.238	166.745	150.849	120.632	85.384
351.464	166.576	150.586	120.509	85.938
360.468	168.856	151.497	120.772	84.981
359.566	170.208	151.923	122.639	85.035
368.403	173.308	155.688	123.757	86.59
370.498	172.106	155.273	125.268	86.323
367.779	173.457	155.388	125.316	88.95
369.63	173.923	156.562	124.982	89.204
362.5	174.666	156.132	125.954	88.405
373.42	175.965	158.46	127.955	88.888
383.007	177.788	160.238	128.966	91.663
389.108	180.075	162.022	131.842	92.729
386.226	180.027	161.961	127.806	89.378
390.261	181.208	164.951	130.996	93.121
383.795	179.769	162.654	128.947	89.803
394.815	182.984	165.897	133.085	94.609
389.247	183.22	164.075	133.044	92.589
395.454	182.533	164.544	133.513	94.15
401.762	185.521	168.224	135.267	95.878
397.016	185.841	167.301	134.919	93.408
394.855	188.465	167.589	134.126	94.586
400.94	187.234	168.955	135.833	95.272
401.562	188.57	167.908	134.903	95.408
401.502	189.074	169.455	135.003	94.014
408.275	190.823	173.165	138.438	97.12
411.136	192.402	173.877	139.167	99.099
416.907	192.268	174.233	140.98	99.155
418.626	194.83	175.754	139.766	98.96
409.778	193.792	174.403	137.608	96.405
413.11	194.952	174.633	140.674	97.743
423.084	198.441	180.29	143.616	100.82
417.152	196.984	177.431	141.708	98.271
418.233	199.412	178.856	144.189	98.636
425.688	199.619	180.622	143.935	102.223
